category,users_products_link,cost_terms,created,image,location2,user_type,name,cost,link,location,user_since,name2,created2,summary,user,desc
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/1Dpgk/,,Yesterday 18:19,https://img02.olx.co.ke/images_olxke/826392409_1_261x203_creative-subwoofer-system-51channel-model-a550-new-sealed-call-now-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,"Creative Subwoofer System 5.1Channel, Model A550, New Sealed. Call Now","KSh  6,000",https://www.olx.co.ke/ad/creative-subwoofer-system-5-1channel-model-a550-new-sealed-call-now-IDTWspP.html#d5fb164a9b,Nairobi CBD,On site since Jul 2015,"Creative Subwoofer System 5.1Channel, Model A550, New Sealed. Call Now","Added at 18:19, 21 February 2017,",Ad,Lumumba,"4.1 Channel, Great surround sound, Audio in ports, Great design, With 2 years warranty plus receipt, Call for delivery or visit us,"
Electronics & Video » Cameras & accessories,https://www.olx.co.ke/ads/user/6P3Nk/,Negotiable,Yesterday 18:20,https://img03.olx.co.ke/images_olxke/1002556825_1_261x203_camera-tripod-stand-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Camera tripod stand,"KSh  4,000",https://www.olx.co.ke/ad/camera-tripod-stand-ID15PScv.html#d5fb164a9b,Nairobi CBD,On site since Feb 2017,Camera tripod stand,"Added at 18:20, 21 February 2017,",Ad,omari,Heavy duity
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6P3Nk/,Negotiable,Yesterday 18:20,https://img03.olx.co.ke/images_olxke/1002556743_1_261x203_used-asus-laptop-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,used Asus laptop,"KSh  14,500",https://www.olx.co.ke/ad/used-asus-laptop-ID15PSb7.html#d5fb164a9b,Nairobi CBD,On site since Feb 2017,Used Asus laptop,"Added at 18:20, 21 February 2017,",Ad,omari,silver in colour
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Ocol/,Negotiable,Yesterday 18:21,https://img02.olx.co.ke/images_olxke/1002489547_1_261x203_new-bodies-mack-book-core-2-duo-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,New bodies mack book core 2 duo,"KSh  30,000",https://www.olx.co.ke/ad/new-bodies-mack-book-core-2-duo-ID15PDvE.html#d5fb164a9b,Nairobi CBD,On site since Sep 2016,New bodies mack book core 2 duo,,Ad,Awesome sellers,We have mack book core 2 duo
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,Negotiable,Yesterday 19:31,https://img03.olx.co.ke/images_olxke/1001573669_1_261x203_sony-bravia-32-digital-koma-rock.jpg,"Koma Rock, Nairobi",Business,"Sony bravia 32"" digital","KSh  26,500",https://www.olx.co.ke/ad/sony-bravia-32-digital-ID15M1Mr.html#9e5d42e9d9,Koma Rock,On site since Jun 2016,"Sony bravia 32"" digital",,Ad,Roba,"Brandnew sony bravia 32"" dig. Tv. With inbuilt free to air decoder. Trade in acceptable"
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,Negotiable,Yesterday 19:35,https://img02.olx.co.ke/images_olxke/1002405468_1_261x203_sony-tz-140-hometheatre-system-embakasi-central.jpg,"Komarock, Embakasi Central, Nairobi",Business,Sony tz 140 hometheatre system,"KSh  12,000",https://www.olx.co.ke/ad/sony-tz-140-hometheatre-system-ID15PkRw.html#9e5d42e9d9,Komarock,On site since Jun 2016,Sony tz 140 hometheatre system,,Ad,Roba,Used but in perfect working condition.300 w total power output.
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,,Yesterday 19:31,https://img01.olx.co.ke/images_olxke/1002044374_1_261x203_sony-bravia-32-digital-tv-koma-rock_rev015.jpg,"Koma Rock, Nairobi",Business,"Sony bravia 32"" digital tv","KSh  22,000",https://www.olx.co.ke/ad/sony-bravia-32-digital-tv-ID15NYD3.html#9e5d42e9d9,Koma Rock,On site since Jun 2016,"Sony bravia 32"" digital tv",,Ad,Roba,"32"" led digital tv. Comes with a wall mount .doesnt have a stand."
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6OqTv/,,Yesterday 19:36,https://img03.olx.co.ke/images_olxke/1002559325_1_261x203_laptop-lenovo-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Laptop Lenovo,"KSh  25,000",https://www.olx.co.ke/ad/laptop-lenovo-ID15PSKD.html#9e5d42e9d9,Nairobi CBD,On site since Oct 2016,Laptop Lenovo,,Ad,Erastus Karani,New and Clean laptop
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6Nz9g/,Negotiable,Yesterday 19:34,https://img02.olx.co.ke/images_olxke/1002447510_1_261x203_hp-fujitsu-siemens-power-supply-embakasi-central.jpg,"Komarock, Embakasi Central, Nairobi",Business,Hp/fujitsu siemens Power supply,"KSh  6,500",https://www.olx.co.ke/ad/hp-fujitsu-siemens-power-supply-ID15PtZ0.html#9e5d42e9d9,Komarock,On site since Jun 2016,Hp/fujitsu siemens Power supply,,Ad,Roba,82A power supply. Can comfirtably power 2 boosters equilizer and a radio.
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6NBRo/,Negotiable,Yesterday 19:36,https://img03.olx.co.ke/images_olxke/1001328210_1_261x203_sayonna-super-su-woofers-on-offer-mombasa-island.jpg,"Mombasa Island, Mombasa",Business,sayonna super su woofers on offer!!,"KSh  5,800",https://www.olx.co.ke/ad/sayonna-super-su-woofers-on-offer-ID15L1qB.html#9e5d42e9d9,Mombasa Island,On site since Jun 2016,Sayonna super su woofers on offer!!,"Added at 19:36, 21 February 2017,",Ad,Hillary mwamburi,Usb support
