category,users_products_link,cost_terms,created,image,location2,user_type,name,cost,link,location,user_since,name2,created2,summary,user,desc
Fashion & Beauty » Health & Beauty,https://www.olx.co.ke/ads/user/6P8GT/,,20 Feb,https://img03.olx.co.ke/images_olxke/1002526064_1_261x203_designer-envelope-clutch-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Designer envelope clutch,"KSh  2,800",https://www.olx.co.ke/ad/designer-envelope-clutch-ID15PLBY.html#63077d3782,Nairobi CBD,On site since Feb 2017,Designer envelope clutch,,Ad,Ritah Mutheu,Designer envelope clutch bags
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/6P8Gi/,Negotiable,20 Feb,https://img01.olx.co.ke/images_olxke/1002525757_1_261x203_male-and-female-bracelets-and-necklaces-ruaka_rev002.jpg,"Ruaka, Nairobi",Individual,male and female bracelets and necklaces,KSh  200,https://www.olx.co.ke/ad/male-and-female-bracelets-and-necklaces-ID15PLyg.html#63077d3782,Ruaka,On site since Feb 2017,Male and female bracelets and necklaces,"Added at 12:43, 20 February 2017,",Ad,wesley,bracelets and necklaces both male and female available and all desighns
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/AoqU/,Negotiable,20 Feb,https://img02.olx.co.ke/images_olxke/1002525952_1_261x203_necklaces-kajiado-north_rev001.jpg,"Ngong Township, Kajiado North, Kajiado",Individual,Necklaces,KSh  250,https://www.olx.co.ke/ad/necklaces-ID15PLAN.html#63077d3782,Ngong Township,On site since May 2016,Necklaces,"Added at 12:43, 20 February 2017,",Ad,Matilda,- Light to wear
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1EYGp/,,20 Feb,https://img01.olx.co.ke/images_olxke/840557010_1_261x203_dunlop-polo-shirts-ngara_rev001.jpg,"Ngara, Nairobi",Individual,Dunlop Polo shirts,"KSh  2,500",https://www.olx.co.ke/ad/dunlop-polo-shirts-IDUSTh8.html#63077d3782,Ngara,On site since Aug 2015,Dunlop Polo shirts,,Ad,Patrick,"They are new; different sizes XL, M, white and black"
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6NEiw/,Negotiable,20 Feb,https://img02.olx.co.ke/images_olxke/1002525691_1_261x203_adidas-nmd-r1-shoes-makadara.jpg,"Makadara, Nairobi",Individual,Adidas nmd r1 shoes,"KSh  1,500",https://www.olx.co.ke/ad/adidas-nmd-r1-shoes-ID15PLx4.html#63077d3782,Makadara,On site since Jun 2016,Adidas nmd r1 shoes,,Ad,Jamick,Number seven and half/eight
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/1EaRv/,,20 Feb,https://img03.olx.co.ke/images_olxke/1001578880_2_261x203_summer-floppy-hats-add-some-photos.jpg,"Nairobi CBD, Nairobi",Individual,Summer floppy hats,KSh  800,https://www.olx.co.ke/ad/summer-floppy-hats-ID15M35G.html#63077d3782,Nairobi CBD,On site since Jul 2015,Summer floppy hats,,Ad,sharon,Large floppy hats that can be curved on the sides.They come in different colours.call
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1EaRv/,,20 Feb,https://img02.olx.co.ke/images_olxke/1002125837_6_261x203_new-kids-crocs-_rev004.jpg,"Nairobi CBD, Nairobi",Business,New Kids crocs,KSh  400,https://www.olx.co.ke/ad/new-kids-crocs-ID15OiF8.html#63077d3782,Nairobi CBD,On site since Jul 2015,New Kids crocs,,Ad,sharon,Multicoloured imported kids crocs at a discounted price.
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/1EYGp/,,20 Feb,https://img01.olx.co.ke/images_olxke/823528061_1_261x203_shoe-bags-to-put-in-your-shoes-ngara.jpg,"Ngara, Nairobi",Individual,Shoe bags to put in your shoes,"KSh  3,000",https://www.olx.co.ke/ad/shoe-bags-to-put-in-your-shoes-IDTJrgF.html#63077d3782,Ngara,On site since Aug 2015,Shoe bags to put in your shoes,,Ad,Patrick,"High quality, durable with central divider"
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/1EaRv/,,20 Feb,https://img02.olx.co.ke/images_olxke/1000492003_3_261x203_handbag-holders-hooks-watches-jewelry-accessories_rev001.jpg,"Nairobi CBD, Nairobi",Individual,Handbag holders/hooks,KSh  400,https://www.olx.co.ke/ad/handbag-holders-hooks-ID15HI04.html#63077d3782,Nairobi CBD,On site since Jul 2015,Handbag holders/hooks,,Ad,sharon,"Magnetic handbag holders to place on the table side to hang a hand bag.They are stainless steel and the top is made of glass.Available in a variety of colours; red, blue, green, orange."
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/1EYGp/,,20 Feb,https://img01.olx.co.ke/images_olxke/1000019822_2_261x203_golf-caps-add-some-photos_rev001.jpg,"Ngara, Nairobi",Individual,Golf Caps,"KSh  1,500",https://www.olx.co.ke/ad/golf-caps-ID15FYnJ.html#63077d3782,Ngara,On site since Aug 2015,Golf Caps,,Ad,Patrick,Caps and visors for men and women. They are stylish
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Nsus/,,20 Feb,https://img01.olx.co.ke/images_olxke/1001630532_1_261x203_chelsea-new-kit-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Chelsea new kit,"KSh  1,700",https://www.olx.co.ke/ad/chelsea-new-kit-ID15Mgcj.html#63077d3782,Nairobi CBD,On site since May 2016,Chelsea new kit,,Ad,Reich,Do you need original jerseys for your favourite EPL soccer team?. Then contact us for all the different jerseys you are looking for.we also do printing of your Jersey for only 400 contact us for nationwide delivery
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6MWke/,,20 Feb,https://img01.olx.co.ke/images_olxke/1000631067_1_261x203_brand-new-heels-mombasa-island.jpg,"Mombasa Island, Mombasa",Individual,brand new heels,"KSh  2,399",https://www.olx.co.ke/ad/brand-new-heels-ID15IeJn.html#63077d3782,Mombasa Island,On site since Mar 2016,Brand new heels,,Ad,Sarah,UK brands size thirty eight
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6P664/,Negotiable,20 Feb,https://img01.olx.co.ke/images_olxke/1002494113_4_261x203_excellent-mitumba-bales-kenya-fashion-beauty_rev002.jpg,"Gikomba, Starehe, Nairobi",Business,Excellent Mitumba Bales Kenya,"KSh  10,000",https://www.olx.co.ke/ad/excellent-mitumba-bales-kenya-ID15PEG2.html#63077d3782,Gikomba,On site since Feb 2017,Excellent Mitumba Bales Kenya,,Ad,Ken,NEW QUALITY MITUMBA BALES AVAILABLE NOW!
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Njvu/,,20 Feb,https://img01.olx.co.ke/images_olxke/1002550924_1_261x203_melo-men-shoes-starehe.jpg,"City Centre, Starehe, Nairobi",Business,Melo Men shoes,"KSh  3,500",https://www.olx.co.ke/ad/melo-men-shoes-ID15PQU0.html#63077d3782,City Centre,On site since May 2016,Melo Men shoes,,Ad,Betty,Men classic wear available sizes 40-45
Fashion & Beauty » Health & Beauty,https://www.olx.co.ke/ads/user/1AIjG/,Negotiable,20 Feb,https://img01.olx.co.ke/images_olxke/1002550873_1_261x203_an-efficient-and-also-100-guaranteed-remedy-to-all-your-hair-problems-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,An Efficient and also 100% guaranteed remedy to all your hair problems,"KSh  2,800",https://www.olx.co.ke/ad/an-efficient-and-also-100-guaranteed-remedy-to-all-your-hair-problems-ID15PQTn.html#63077d3782,Nairobi CBD,On site since Aug 2016,An Efficient and also 100% guaranteed remedy to all your hair problems,"Added at 13:05, 20 February 2017,",Ad,Charles,"T444Z HAIR FOOD works to nourish hair follicles, prevent hair loss, and speed up hair growth. It also works to improve the overall health of your hair and prevent breakage. T444Z stimulates the circulation in the scalp, thus improving the overall hair quality. By stimulating blood flow in the scalp, hair follicles become stronger, cutting down on hair breakage, hair loss, and thinning."
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Nsus/,,20 Feb,,"Nairobi CBD, Nairobi",Individual,,"KSh  2,800",https://www.olx.co.ke/ad/arsenal-jackets-ID15NTWj.html#63077d3782,Nairobi CBD,On site since May 2016,Arsenal jackets,"Added at 13:18, 20 February 2017,",Ad,reich,"all epl soccer team jackets are now available,contact us for nationwide delivery"
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Nsus/,,20 Feb,https://img01.olx.co.ke/images_olxke/1002024775_1_261x203_arsenal-jerseys-for-2016-2017-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,arsenal jerseys for 2016/2017,"KSh  1,700",https://www.olx.co.ke/ad/arsenal-jerseys-for-2016-2017-ID15NTTw.html#63077d3782,Nairobi CBD,On site since May 2016,Arsenal jerseys for 2016/2017,"Added at 13:18, 20 February 2017,",Ad,reich,we offer you orginal jerseys for your favourite EPL team contact us today for nationwide deliveries
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/6ObiH/,,20 Feb,https://img03.olx.co.ke/images_olxke/1002286376_1_261x203_leather-and-silver-watches-nairobi-cbd_rev002.jpg,"Nairobi CBD, Nairobi",Business,Leather and silver Watches,KSh  350,https://www.olx.co.ke/ad/leather-and-silver-watches-ID15OTSO.html#63077d3782,Nairobi CBD,On site since Sep 2016,Leather and silver Watches,,Ad,reginah,Men's and ladies' watches at great a offer!!
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/1iwzq/,,20 Feb,https://img02.olx.co.ke/images_olxke/1002551020_1_261x203_classy-curren-watches-now-on-sale-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Classy Curren Watches Now On Sale!!!,"KSh  3,000",https://www.olx.co.ke/ad/classy-curren-watches-now-on-sale-ID15PQWa.html#63077d3782,Nairobi CBD,On site since Jul 2014,Classy Curren Watches Now On Sale!!!,"Added at 13:17, 20 February 2017,",Ad,NjorogeBiz,"Want A Classy Affordable Watch? If So Get A Classy Curren Timepiece At 3,000/= Each"
Fashion & Beauty » Health & Beauty,https://www.olx.co.ke/ads/user/6O9dV/,Negotiable,20 Feb,https://img03.olx.co.ke/images_olxke/1002551026_1_261x203_3-in-1-hair-flat-iron-and-tong-starehe_rev002.jpg,"City Centre, Starehe, Nairobi",Individual,3 in 1 hair flat iron and tong.,"KSh  3,000",https://www.olx.co.ke/ad/3-in-1-hair-flat-iron-and-tong-ID15PQWo.html#63077d3782,City Centre,On site since Sep 2016,3 in 1 hair flat iron and tong.,,Ad,faith,It can be used as a flat iron and tong
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6NvDj/,Negotiable,20 Feb,https://img01.olx.co.ke/images_olxke/1002551029_1_261x203_khaki-pants-kasarani.jpg,"Kasarani, Nairobi",Individual,Khaki pants!,"KSh  1,500",https://www.olx.co.ke/ad/khaki-pants-ID15PQWk.html#63077d3782,Kasarani,On site since Jun 2016,Khaki pants!,,Ad,Morven,High quality khaki pants available in your preferred size and color.
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Nsus/,Negotiable,20 Feb,https://img03.olx.co.ke/images_olxke/1001411319_1_261x203_2016-2017-epl-jerseys-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,2016/2017 epl jerseys,"KSh  1,800",https://www.olx.co.ke/ad/2016-2017-epl-jerseys-ID15LmxJ.html#63077d3782,Nairobi CBD,On site since May 2016,2016/2017 epl jerseys,,Ad,Reich,"Available for different epl soccer teams, man u, arsenal, Chelsea,we also have different sizes. Printing of the names also done at an affordable price"
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Nsus/,,20 Feb,https://img03.olx.co.ke/images_olxke/1002020292_1_261x203_chelsea-jerseys-now-available-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Chelsea jerseys now available,"KSh  1,700",https://www.olx.co.ke/ad/chelsea-jerseys-now-available-ID15NSMW.html#63077d3782,Nairobi CBD,On site since May 2016,Chelsea jerseys now available,,Ad,reich,Get quality jerseys for your favourite epl soccer team from us today contact us for nationwide delivery we also do printing of your Jersey at a pocket friendly price contact us today for nationwide delivery
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6Njvu/,,20 Feb,https://img01.olx.co.ke/images_olxke/1002551049_1_261x203_airmax-starehe.jpg,"City Centre, Starehe, Nairobi",Business,Airmax,"KSh  4,500",https://www.olx.co.ke/ad/airmax-ID15PQWB.html#63077d3782,City Centre,On site since May 2016,Airmax,,Ad,Betty,Available in sizes 40-45
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1HwHO/,,20 Feb,https://img02.olx.co.ke/images_olxke/1002246289_1_261x203_fancy-jackets-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Fancy Jackets,"KSh  2,000",https://www.olx.co.ke/ad/fancy-jackets-ID15OKUU.html#3332a9ca69,Nairobi CBD,On site since Sep 2015,Fancy Jackets,,Ad,dressbilastress,Beautiful ladies Jackets
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1HwHO/,,20 Feb,https://img03.olx.co.ke/images_olxke/1002546148_1_261x203_leather-jacket-1600-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Leather jacket 1600,"KSh  1,600",https://www.olx.co.ke/ad/leather-jacket-1600-ID15PPTH.html#3332a9ca69,Nairobi CBD,On site since Sep 2015,Leather jacket 1600,,Ad,dressbilastress,Call text WhatsApp
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1HwHO/,,20 Feb,https://img02.olx.co.ke/images_olxke/1002546078_1_261x203_jacket-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Jacket,"KSh  2,000",https://www.olx.co.ke/ad/jacket-ID15PPSU.html#3332a9ca69,Nairobi CBD,On site since Sep 2015,Jacket,,Ad,dressbilastress,Call text WhatsApp
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1HwHO/,,20 Feb,https://img03.olx.co.ke/images_olxke/1001252906_2_261x203_rent-a-dress-add-some-photos.jpg,"Nairobi CBD, Nairobi",Business,Rent a dress,"KSh  2,000",https://www.olx.co.ke/ad/rent-a-dress-ID15KIGY.html#3332a9ca69,Nairobi CBD,On site since Sep 2015,Rent a dress,,Ad,dressbilastress,Rent - ksh 500
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/6OUzN/,,20 Feb,https://img02.olx.co.ke/images_olxke/1002551608_1_261x203_floral-bags-langata.jpg,"Hardy, Langata, Nairobi",Individual,Floral bags,KSh  800,https://www.olx.co.ke/ad/floral-bags-ID15PR40.html#3332a9ca69,Hardy,On site since Jan 2017,Floral bags,,Ad,Doris,Floral polyester bags
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1HwHO/,,20 Feb,https://img01.olx.co.ke/images_olxke/1002211619_1_261x203_leather-jackets-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Leather jackets,"KSh  2,000",https://www.olx.co.ke/ad/leather-jackets-ID15OD0O.html#3332a9ca69,Nairobi CBD,On site since Sep 2015,Leather jackets,,Ad,dressbilastress,Nice fitting leather jackets size 18
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6N73A/,Negotiable,20 Feb,https://img03.olx.co.ke/images_olxke/1002538123_1_261x203_monochrome-print-black-belted-off-shoulder-jumpsuit-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Monochrome Print Black Belted Off Shoulder Jumpsuit,"KSh  2,899",https://www.olx.co.ke/ad/monochrome-print-black-belted-off-shoulder-jumpsuit-ID15POel.html#3332a9ca69,Nairobi CBD,On site since Apr 2016,Monochrome Print Black Belted Off Shoulder Jumpsuit,"Added at 14:52, 20 February 2017,",Ad,Confident Fraviah,"Style Brief, Cute, Club, Sexy"
Fashion & Beauty » Babies & Kids,https://www.olx.co.ke/ads/user/6P9WR/,Negotiable,20 Feb,https://img03.olx.co.ke/images_olxke/1002546471_1_261x203_foldable-baby-cot-donholm.jpg,"Donholm, Nairobi",Individual,Foldable baby cot,"KSh  7,000",https://www.olx.co.ke/ad/foldable-baby-cot-ID15PPXN.html#3332a9ca69,Donholm,On site since Feb 2017,Foldable baby cot,,Ad,Mercy,The baby cot is navy blue in colour with white polka dots and in good condition. It's appropriate for a child less than one year old.
